,name,smiles,inchi,synonyms,v
1,C134CO,OCCC(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C,"InChI=1S/C13H18O6/c1-8(15)4-5-10(17)13(2,3)12(19)11(18)9(16)6-7-14/h14H,4-7H2,1-3H3",,v3.2 & v3.3.1
3,C918NO3,O=CCC(=O)C1CC(ON(=O)=O)C1(C)C,"InChI=1S/C9H13NO5/c1-9(2)6(7(12)3-4-11)5-8(9)15-10(13)14/h4,6,8H,3,5H2,1-2H3",,v3.2 & v3.3.1
